label,woman,nhk
"""北海道""",12.5,26.3
"""青森県""",7.8,5.3
"""岩手県""",11.7,5.5
"""宮城県""",11.6,15.6
"""秋田県""",8.4,1.7
"""山形県""",9.7,4
"""福島県""",8,8.5
"""茨城県""",12.1,10.7
"""栃木県""",13.1,11.1
"""群馬県""",9.5,12.6
"""埼玉県""",20.2,17
"""千葉県""",17.3,17.5
"""東京都""",28,30.2
"""神奈川県""",21.5,18.6
"""新潟県""",10.9,1.9
"""富山県""",8.7,5.9
"""石川県""",8.1,10.7
"""福井県""",10.1,7.6
"""山梨県""",7.1,10.7
"""長野県""",14.6,11
"""岐阜県""",11.6,6.9
"""静岡県""",12.3,10
"""愛知県""",15.1,13.6
"""三重県""",14.4,10.8
"""滋賀県""",14.7,15.9
"""京都府""",18.7,20.4
"""大阪府""",20,31.8
"""兵庫県""",16.9,20.6
"""奈良県""",11.5,17.2
"""和歌山県""",10.3,10.3
"""鳥取県""",10.8,6.4
"""島根県""",7.4,4.7
"""岡山県""",10.5,12.3
"""広島県""",10.4,10.8
"""山口県""",11.4,8.4
"""徳島県""",11.2,14.8
"""香川県""",10.6,13.4
"""愛媛県""",9.5,12.1
"""高知県""",11.9,14.6
"""福岡県""",13.2,22
"""佐賀県""",8.6,11.1
"""長崎県""",7.9,13.4
"""熊本県""",8.6,16.5
"""大分県""",7.5,16.8
"""宮崎県""",11,14.1
"""鹿児島県""",8.3,11.6
"""沖縄県""",9.1,48.2
"""全国""",13.4,18.2
