label,woman,nhk
北海道,125,263
青森県,78,53
岩手県,117,55
宮城県,116,156
秋田県,84,17
山形県,97,40
福島県,80,85
茨城県,121,107
栃木県,131,111
群馬県,95,126
埼玉県,202,170
千葉県,173,175
東京都,280,302
神奈川県,215,186
新潟県,109,19
富山県,87,59
石川県,81,107
福井県,101,76
山梨県,71,107
長野県,146,110
岐阜県,116,69
静岡県,123,100
愛知県,151,136
三重県,144,108
滋賀県,147,159
京都府,187,204
大阪府,200,318
兵庫県,169,206
奈良県,115,172
和歌山県,103,103
鳥取県,108,64
島根県,74,47
岡山県,105,123
広島県,104,108
山口県,114,84
徳島県,112,148
香川県,106,134
愛媛県,95,121
高知県,119,146
福岡県,132,220
佐賀県,86,111
長崎県,79,134
熊本県,86,165
大分県,75,168
宮崎県,110,141
鹿児島県,83,116
沖縄県,91,482
全国,134,182
