year,numofbirth,color
1947,267879,black
1948,268162,black
1949,269664,red
1950,233751,black
1951,213769,black
1952,200516,black
1953,186804,black
1954,176958,black
1955,173069,black
1956,166528,black
1957,156671,black
1958,165347,black
1959,162609,black
1960,160604,black
1961,158937,black
1962,161862,black
1963,165952,black
1964,171676,black
1965,182370,black
1966,136097,black
1967,193565,black
1968,187184,black
1969,188982,black
1970,193424,black
1971,200097,black
1972,203868,black
1973,209198,black
1974,202999,black
1975,190144,black
1976,183262,black
1977,175510,black
1978,170864,black
1979,164258,black
1980,157689,black
1981,152946,black
1982,151539,black
1983,150869,black
1984,148978,black
1985,143158,black
1986,138295,black
1987,134666,black
1988,131401,black
1989,124680,black
1990,122159,black
1991,122325,black
1992,120899,black
1993,118828,black
1994,123833,black
1995,118706,black
1996,120656,black
1997,119167,black
1998,120315,black
1999,117767,black
2000,119055,black
2001,117066,black
2002,115386,black
2003,112383,black
2004,111072,blue
    
