year,numofbirth
1947,267879
1948,268162
1949,269664
1950,233751
1951,213769
1952,200516
1953,186804
1954,176958
1955,173069
1956,166528
1957,156671
1958,165347
1959,162609
1960,160604
1961,158937
1962,161862
1963,165952
1964,171676
1965,182370
1966,136097
1967,193565
1968,187184
1969,188982
1970,193424
1971,200097
1972,203868
1973,209198
1974,202999
1975,190144
1976,183262
1977,175510
1978,170864
1979,164258
1980,157689
1981,152946
1982,151539
1983,150869
1984,148978
1985,143158
1986,138295
1987,134666
1988,131401
1989,124680
1990,122159
1991,122325
1992,120899
1993,118828
1994,123833
1995,118706
1996,120656
1997,119167
1998,120315
1999,117767
2000,119055
2001,117066
2002,115386
2003,112383
2004,111072
